rok,mesic,benzin,diesel,cng,lpg,e85,elektro,hybrid,ostatní
2005,1,5775,2944,,,,,,
2005,2,5382,2333,,,,,,
2005,3,7831,3072,,,,,,
2005,4,9565,2893,,,,,,
2005,5,9878,3265,,,,,,
2005,6,9527,3419,,,,,,
2005,7,7315,2531,,,,,,
2005,8,7665,2662,,,,,,
2005,9,5948,2585,,,,,,
2005,10,7011,3119,,,,,,
2005,11,6968,3182,,,,,,
2005,12,6836,3315,,,,,,
2006,1,5172,2460,,,,,,
2006,2,5981,2290,,,,,,
2006,3,8058,2958,,,,,,
2006,4,8448,2763,,,,,,
2006,5,9488,3446,,,,,,
2006,6,7943,3243,,,,,,
2006,7,6973,2640,,,,,,
2006,8,7122,2651,,,,,,
2006,9,5858,2746,,,,,,
2006,10,7369,3334,,,,,,
2006,11,7195,3321,,,,,,
2006,12,6259,3021,,,,,,
2007,1,6139,2794,1,,,,,213
2007,2,6331,2607,,,,,,254
2007,3,8188,3218,1,,,,,359
2007,4,8409,3177,1,,,,,387
2007,5,8957,3474,3,,,,,395
2007,6,8933,3434,2,,,,,283
2007,7,8183,3057,2,,,,,310
2007,8,7350,2754,1,,,,,315
2007,9,6464,2474,,,,,,239
2007,10,8434,3430,1,,,,,255
2007,11,7585,3295,12,,,,,270
2007,12,7164,3045,4,,,,,338
2008,1,6872,2905,1,,,,,304
2008,2,7662,2632,,,,,,352
2008,3,9076,2793,1,,,,,428
2008,4,10254,3671,9,,,,,848
2008,5,8177,2973,3,,,,,699
2008,6,9841,3187,1,,5,,,761
2008,7,9155,2943,1,,1,,,841
2008,8,7500,2250,3,,4,,,713
2008,9,8519,2999,11,,,,,605
2008,10,9142,3108,28,,1,,,694
2008,11,8259,2654,7,,,,,464
2008,12,7229,2503,2,,1,,,569
2009,1,6221,2216,5,,1,,,399
2009,2,7284,2240,2,,,,,297
2009,3,9860,2237,2,,2,,,309
2009,4,11369,5580,13,,,,,630
2009,5,9262,4503,4,1,6,,,501
2009,6,10353,5365,7,,9,,,550
2009,7,9207,4442,7,1,4,4,,485
2009,8,7852,3834,12,3,2,,,471
2009,9,7553,4183,13,4,1,,,442
2009,10,8473,5197,25,1,1,,,424
2009,11,8805,5799,8,1,1,1,,360
2009,12,8646,5768,5,8,5,,,383
2010,1,5493,5003,2,4,3,,,308
2010,2,6103,4658,6,1,1,,,311
2010,3,10852,6181,4,10,1,,,398
2010,4,8974,5890,12,4,1,,,383
2010,5,9128,6333,12,2,,1,,409
2010,6,10518,7502,2,5,3,1,,507
2010,7,6997,4015,25,8,4,,,339
2010,8,7397,4368,22,5,,,,296
2010,9,7614,5315,22,4,3,,,293
2010,10,7051,5746,18,,6,,,305
2010,11,8211,6644,14,2,6,,,351
2010,12,8604,6026,11,24,4,4,,456
2011,1,6316,5055,2,2,5,3,,295
2011,2,7448,5133,2,3,23,,,238
2011,3,10975,6098,17,3,21,12,,375
2011,4,8796,5393,19,7,20,18,,367
2011,5,9216,5833,8,16,17,4,,388
2011,6,9254,6457,8,12,42,6,,377
2011,7,6712,5006,44,12,35,2,,307
2011,8,8222,5483,16,13,42,4,,325
2011,9,6633,5990,16,15,22,,,302
2011,10,8479,5999,27,16,19,,,318
2011,11,9389,6168,21,9,54,4,,275
2011,12,8712,5895,14,19,45,3,,331
2012,1,6483,6107,17,5,36,,17,256
2012,2,7356,5892,11,6,60,3,16,200
2012,3,9966,6704,23,11,46,1,28,285
2012,4,9604,6519,30,21,57,3,31,324
2012,5,9358,6154,25,17,63,6,31,321
2012,6,10500,7079,50,78,86,8,32,307
2012,7,6262,4618,31,76,56,1,33,81
2012,8,7385,5595,33,36,51,8,32,53
2012,9,6806,5011,26,39,20,14,31,528
2012,10,8807,6696,52,100,38,18,39,213
2012,11,7694,6059,94,77,45,20,36,178
2012,12,6846,5578,78,48,30,7,36,161
2013,1,6164,5614,29,55,31,3,39,136
2013,2,5797,4521,27,27,24,1,35,130
2013,3,7978,5550,39,32,11,3,29,178
2013,4,8412,6312,33,31,12,3,49,209
2013,5,8961,5559,15,32,4,6,45,200
2013,6,8304,5837,40,68,2,2,46,183
2013,7,8413,5781,43,92,3,1,46,154
2013,8,6682,4647,27,48,1,1,32,157
2013,9,6982,5960,27,45,,,25,169
2013,10,8254,6786,36,57,8,5,34,166
2013,11,7710,6684,40,71,1,9,32,150
2013,12,7732,6495,23,89,9,3,26,162
2014,1,6793,6523,51,91,,3,29,148
2014,2,6977,5531,20,98,,6,27,120
2014,3,9273,6934,53,125,5,14,29,143
2014,4,9838,7262,68,96,1,13,26,194
2014,5,8716,6312,54,102,2,9,18,183
2014,6,10386,7313,142,115,1,5,33,176
2014,7,9712,7395,177,177,7,21,20,191
2014,8,8269,5280,107,93,,12,25,151
2014,9,9397,5917,188,67,2,12,40,152
2014,10,9738,7430,236,151,2,30,34,170
2014,11,8962,6843,166,195,,26,56,117
2014,12,8725,7388,140,171,,46,49,169