"datum","palivo","prodano"
2005-01-15,"benzin",5775
2005-02-15,"benzin",5382
2005-03-15,"benzin",7831
2005-04-15,"benzin",9565
2005-05-15,"benzin",9878
2005-06-15,"benzin",9527
2005-07-15,"benzin",7315
2005-08-15,"benzin",7665
2005-09-15,"benzin",5948
2005-10-15,"benzin",7011
2005-11-15,"benzin",6968
2005-12-15,"benzin",6836
2006-01-15,"benzin",5172
2006-02-15,"benzin",5981
2006-03-15,"benzin",8058
2006-04-15,"benzin",8448
2006-05-15,"benzin",9488
2006-06-15,"benzin",7943
2006-07-15,"benzin",6973
2006-08-15,"benzin",7122
2006-09-15,"benzin",5858
2006-10-15,"benzin",7369
2006-11-15,"benzin",7195
2006-12-15,"benzin",6259
2007-01-15,"benzin",6139
2007-02-15,"benzin",6331
2007-03-15,"benzin",8188
2007-04-15,"benzin",8409
2007-05-15,"benzin",8957
2007-06-15,"benzin",8933
2007-07-15,"benzin",8183
2007-08-15,"benzin",7350
2007-09-15,"benzin",6464
2007-10-15,"benzin",8434
2007-11-15,"benzin",7585
2007-12-15,"benzin",7164
2008-01-15,"benzin",6872
2008-02-15,"benzin",7662
2008-03-15,"benzin",9076
2008-04-15,"benzin",10254
2008-05-15,"benzin",8177
2008-06-15,"benzin",9841
2008-07-15,"benzin",9155
2008-08-15,"benzin",7500
2008-09-15,"benzin",8519
2008-10-15,"benzin",9142
2008-11-15,"benzin",8259
2008-12-15,"benzin",7229
2009-01-15,"benzin",6221
2009-02-15,"benzin",7284
2009-03-15,"benzin",9860
2009-04-15,"benzin",11369
2009-05-15,"benzin",9262
2009-06-15,"benzin",10353
2009-07-15,"benzin",9207
2009-08-15,"benzin",7852
2009-09-15,"benzin",7553
2009-10-15,"benzin",8473
2009-11-15,"benzin",8805
2009-12-15,"benzin",8646
2010-01-15,"benzin",5493
2010-02-15,"benzin",6103
2010-03-15,"benzin",10852
2010-04-15,"benzin",8974
2010-05-15,"benzin",9128
2010-06-15,"benzin",10518
2010-07-15,"benzin",6997
2010-08-15,"benzin",7397
2010-09-15,"benzin",7614
2010-10-15,"benzin",7051
2010-11-15,"benzin",8211
2010-12-15,"benzin",8604
2011-01-15,"benzin",6316
2011-02-15,"benzin",7448
2011-03-15,"benzin",10975
2011-04-15,"benzin",8796
2011-05-15,"benzin",9216
2011-06-15,"benzin",9254
2011-07-15,"benzin",6712
2011-08-15,"benzin",8222
2011-09-15,"benzin",6633
2011-10-15,"benzin",8479
2011-11-15,"benzin",9389
2011-12-15,"benzin",8712
2012-01-15,"benzin",6483
2012-02-15,"benzin",7356
2012-03-15,"benzin",9966
2012-04-15,"benzin",9604
2012-05-15,"benzin",9358
2012-06-15,"benzin",10500
2012-07-15,"benzin",6262
2012-08-15,"benzin",7385
2012-09-15,"benzin",6806
2012-10-15,"benzin",8807
2012-11-15,"benzin",7694
2012-12-15,"benzin",6846
2013-01-15,"benzin",6164
2013-02-15,"benzin",5797
2013-03-15,"benzin",7978
2013-04-15,"benzin",8412
2013-05-15,"benzin",8961
2013-06-15,"benzin",8304
2013-07-15,"benzin",8413
2013-08-15,"benzin",6682
2013-09-15,"benzin",6982
2013-10-15,"benzin",8254
2013-11-15,"benzin",7710
2013-12-15,"benzin",7732
2014-01-15,"benzin",6793
2014-02-15,"benzin",6977
2014-03-15,"benzin",9273
2014-04-15,"benzin",9838
2014-05-15,"benzin",8716
2014-06-15,"benzin",10386
2014-07-15,"benzin",9712
2014-08-15,"benzin",8269
2014-09-15,"benzin",9397
2014-10-15,"benzin",9738
2014-11-15,"benzin",8962
2014-12-15,"benzin",8725
2005-01-15,"diesel",2944
2005-02-15,"diesel",2333
2005-03-15,"diesel",3072
2005-04-15,"diesel",2893
2005-05-15,"diesel",3265
2005-06-15,"diesel",3419
2005-07-15,"diesel",2531
2005-08-15,"diesel",2662
2005-09-15,"diesel",2585
2005-10-15,"diesel",3119
2005-11-15,"diesel",3182
2005-12-15,"diesel",3315
2006-01-15,"diesel",2460
2006-02-15,"diesel",2290
2006-03-15,"diesel",2958
2006-04-15,"diesel",2763
2006-05-15,"diesel",3446
2006-06-15,"diesel",3243
2006-07-15,"diesel",2640
2006-08-15,"diesel",2651
2006-09-15,"diesel",2746
2006-10-15,"diesel",3334
2006-11-15,"diesel",3321
2006-12-15,"diesel",3021
2007-01-15,"diesel",2794
2007-02-15,"diesel",2607
2007-03-15,"diesel",3218
2007-04-15,"diesel",3177
2007-05-15,"diesel",3474
2007-06-15,"diesel",3434
2007-07-15,"diesel",3057
2007-08-15,"diesel",2754
2007-09-15,"diesel",2474
2007-10-15,"diesel",3430
2007-11-15,"diesel",3295
2007-12-15,"diesel",3045
2008-01-15,"diesel",2905
2008-02-15,"diesel",2632
2008-03-15,"diesel",2793
2008-04-15,"diesel",3671
2008-05-15,"diesel",2973
2008-06-15,"diesel",3187
2008-07-15,"diesel",2943
2008-08-15,"diesel",2250
2008-09-15,"diesel",2999
2008-10-15,"diesel",3108
2008-11-15,"diesel",2654
2008-12-15,"diesel",2503
2009-01-15,"diesel",2216
2009-02-15,"diesel",2240
2009-03-15,"diesel",2237
2009-04-15,"diesel",5580
2009-05-15,"diesel",4503
2009-06-15,"diesel",5365
2009-07-15,"diesel",4442
2009-08-15,"diesel",3834
2009-09-15,"diesel",4183
2009-10-15,"diesel",5197
2009-11-15,"diesel",5799
2009-12-15,"diesel",5768
2010-01-15,"diesel",5003
2010-02-15,"diesel",4658
2010-03-15,"diesel",6181
2010-04-15,"diesel",5890
2010-05-15,"diesel",6333
2010-06-15,"diesel",7502
2010-07-15,"diesel",4015
2010-08-15,"diesel",4368
2010-09-15,"diesel",5315
2010-10-15,"diesel",5746
2010-11-15,"diesel",6644
2010-12-15,"diesel",6026
2011-01-15,"diesel",5055
2011-02-15,"diesel",5133
2011-03-15,"diesel",6098
2011-04-15,"diesel",5393
2011-05-15,"diesel",5833
2011-06-15,"diesel",6457
2011-07-15,"diesel",5006
2011-08-15,"diesel",5483
2011-09-15,"diesel",5990
2011-10-15,"diesel",5999
2011-11-15,"diesel",6168
2011-12-15,"diesel",5895
2012-01-15,"diesel",6107
2012-02-15,"diesel",5892
2012-03-15,"diesel",6704
2012-04-15,"diesel",6519
2012-05-15,"diesel",6154
2012-06-15,"diesel",7079
2012-07-15,"diesel",4618
2012-08-15,"diesel",5595
2012-09-15,"diesel",5011
2012-10-15,"diesel",6696
2012-11-15,"diesel",6059
2012-12-15,"diesel",5578
2013-01-15,"diesel",5614
2013-02-15,"diesel",4521
2013-03-15,"diesel",5550
2013-04-15,"diesel",6312
2013-05-15,"diesel",5559
2013-06-15,"diesel",5837
2013-07-15,"diesel",5781
2013-08-15,"diesel",4647
2013-09-15,"diesel",5960
2013-10-15,"diesel",6786
2013-11-15,"diesel",6684
2013-12-15,"diesel",6495
2014-01-15,"diesel",6523
2014-02-15,"diesel",5531
2014-03-15,"diesel",6934
2014-04-15,"diesel",7262
2014-05-15,"diesel",6312
2014-06-15,"diesel",7313
2014-07-15,"diesel",7395
2014-08-15,"diesel",5280
2014-09-15,"diesel",5917
2014-10-15,"diesel",7430
2014-11-15,"diesel",6843
2014-12-15,"diesel",7388
2005-01-15,"cng",NA
2005-02-15,"cng",NA
2005-03-15,"cng",NA
2005-04-15,"cng",NA
2005-05-15,"cng",NA
2005-06-15,"cng",NA
2005-07-15,"cng",NA
2005-08-15,"cng",NA
2005-09-15,"cng",NA
2005-10-15,"cng",NA
2005-11-15,"cng",NA
2005-12-15,"cng",NA
2006-01-15,"cng",NA
2006-02-15,"cng",NA
2006-03-15,"cng",NA
2006-04-15,"cng",NA
2006-05-15,"cng",NA
2006-06-15,"cng",NA
2006-07-15,"cng",NA
2006-08-15,"cng",NA
2006-09-15,"cng",NA
2006-10-15,"cng",NA
2006-11-15,"cng",NA
2006-12-15,"cng",NA
2007-01-15,"cng",1
2007-02-15,"cng",NA
2007-03-15,"cng",1
2007-04-15,"cng",1
2007-05-15,"cng",3
2007-06-15,"cng",2
2007-07-15,"cng",2
2007-08-15,"cng",1
2007-09-15,"cng",NA
2007-10-15,"cng",1
2007-11-15,"cng",12
2007-12-15,"cng",4
2008-01-15,"cng",1
2008-02-15,"cng",NA
2008-03-15,"cng",1
2008-04-15,"cng",9
2008-05-15,"cng",3
2008-06-15,"cng",1
2008-07-15,"cng",1
2008-08-15,"cng",3
2008-09-15,"cng",11
2008-10-15,"cng",28
2008-11-15,"cng",7
2008-12-15,"cng",2
2009-01-15,"cng",5
2009-02-15,"cng",2
2009-03-15,"cng",2
2009-04-15,"cng",13
2009-05-15,"cng",4
2009-06-15,"cng",7
2009-07-15,"cng",7
2009-08-15,"cng",12
2009-09-15,"cng",13
2009-10-15,"cng",25
2009-11-15,"cng",8
2009-12-15,"cng",5
2010-01-15,"cng",2
2010-02-15,"cng",6
2010-03-15,"cng",4
2010-04-15,"cng",12
2010-05-15,"cng",12
2010-06-15,"cng",2
2010-07-15,"cng",25
2010-08-15,"cng",22
2010-09-15,"cng",22
2010-10-15,"cng",18
2010-11-15,"cng",14
2010-12-15,"cng",11
2011-01-15,"cng",2
2011-02-15,"cng",2
2011-03-15,"cng",17
2011-04-15,"cng",19
2011-05-15,"cng",8
2011-06-15,"cng",8
2011-07-15,"cng",44
2011-08-15,"cng",16
2011-09-15,"cng",16
2011-10-15,"cng",27
2011-11-15,"cng",21
2011-12-15,"cng",14
2012-01-15,"cng",17
2012-02-15,"cng",11
2012-03-15,"cng",23
2012-04-15,"cng",30
2012-05-15,"cng",25
2012-06-15,"cng",50
2012-07-15,"cng",31
2012-08-15,"cng",33
2012-09-15,"cng",26
2012-10-15,"cng",52
2012-11-15,"cng",94
2012-12-15,"cng",78
2013-01-15,"cng",29
2013-02-15,"cng",27
2013-03-15,"cng",39
2013-04-15,"cng",33
2013-05-15,"cng",15
2013-06-15,"cng",40
2013-07-15,"cng",43
2013-08-15,"cng",27
2013-09-15,"cng",27
2013-10-15,"cng",36
2013-11-15,"cng",40
2013-12-15,"cng",23
2014-01-15,"cng",51
2014-02-15,"cng",20
2014-03-15,"cng",53
2014-04-15,"cng",68
2014-05-15,"cng",54
2014-06-15,"cng",142
2014-07-15,"cng",177
2014-08-15,"cng",107
2014-09-15,"cng",188
2014-10-15,"cng",236
2014-11-15,"cng",166
2014-12-15,"cng",140
2005-01-15,"lpg",NA
2005-02-15,"lpg",NA
2005-03-15,"lpg",NA
2005-04-15,"lpg",NA
2005-05-15,"lpg",NA
2005-06-15,"lpg",NA
2005-07-15,"lpg",NA
2005-08-15,"lpg",NA
2005-09-15,"lpg",NA
2005-10-15,"lpg",NA
2005-11-15,"lpg",NA
2005-12-15,"lpg",NA
2006-01-15,"lpg",NA
2006-02-15,"lpg",NA
2006-03-15,"lpg",NA
2006-04-15,"lpg",NA
2006-05-15,"lpg",NA
2006-06-15,"lpg",NA
2006-07-15,"lpg",NA
2006-08-15,"lpg",NA
2006-09-15,"lpg",NA
2006-10-15,"lpg",NA
2006-11-15,"lpg",NA
2006-12-15,"lpg",NA
2007-01-15,"lpg",NA
2007-02-15,"lpg",NA
2007-03-15,"lpg",NA
2007-04-15,"lpg",NA
2007-05-15,"lpg",NA
2007-06-15,"lpg",NA
2007-07-15,"lpg",NA
2007-08-15,"lpg",NA
2007-09-15,"lpg",NA
2007-10-15,"lpg",NA
2007-11-15,"lpg",NA
2007-12-15,"lpg",NA
2008-01-15,"lpg",NA
2008-02-15,"lpg",NA
2008-03-15,"lpg",NA
2008-04-15,"lpg",NA
2008-05-15,"lpg",NA
2008-06-15,"lpg",NA
2008-07-15,"lpg",NA
2008-08-15,"lpg",NA
2008-09-15,"lpg",NA
2008-10-15,"lpg",NA
2008-11-15,"lpg",NA
2008-12-15,"lpg",NA
2009-01-15,"lpg",NA
2009-02-15,"lpg",NA
2009-03-15,"lpg",NA
2009-04-15,"lpg",NA
2009-05-15,"lpg",1
2009-06-15,"lpg",NA
2009-07-15,"lpg",1
2009-08-15,"lpg",3
2009-09-15,"lpg",4
2009-10-15,"lpg",1
2009-11-15,"lpg",1
2009-12-15,"lpg",8
2010-01-15,"lpg",4
2010-02-15,"lpg",1
2010-03-15,"lpg",10
2010-04-15,"lpg",4
2010-05-15,"lpg",2
2010-06-15,"lpg",5
2010-07-15,"lpg",8
2010-08-15,"lpg",5
2010-09-15,"lpg",4
2010-10-15,"lpg",NA
2010-11-15,"lpg",2
2010-12-15,"lpg",24
2011-01-15,"lpg",2
2011-02-15,"lpg",3
2011-03-15,"lpg",3
2011-04-15,"lpg",7
2011-05-15,"lpg",16
2011-06-15,"lpg",12
2011-07-15,"lpg",12
2011-08-15,"lpg",13
2011-09-15,"lpg",15
2011-10-15,"lpg",16
2011-11-15,"lpg",9
2011-12-15,"lpg",19
2012-01-15,"lpg",5
2012-02-15,"lpg",6
2012-03-15,"lpg",11
2012-04-15,"lpg",21
2012-05-15,"lpg",17
2012-06-15,"lpg",78
2012-07-15,"lpg",76
2012-08-15,"lpg",36
2012-09-15,"lpg",39
2012-10-15,"lpg",100
2012-11-15,"lpg",77
2012-12-15,"lpg",48
2013-01-15,"lpg",55
2013-02-15,"lpg",27
2013-03-15,"lpg",32
2013-04-15,"lpg",31
2013-05-15,"lpg",32
2013-06-15,"lpg",68
2013-07-15,"lpg",92
2013-08-15,"lpg",48
2013-09-15,"lpg",45
2013-10-15,"lpg",57
2013-11-15,"lpg",71
2013-12-15,"lpg",89
2014-01-15,"lpg",91
2014-02-15,"lpg",98
2014-03-15,"lpg",125
2014-04-15,"lpg",96
2014-05-15,"lpg",102
2014-06-15,"lpg",115
2014-07-15,"lpg",177
2014-08-15,"lpg",93
2014-09-15,"lpg",67
2014-10-15,"lpg",151
2014-11-15,"lpg",195
2014-12-15,"lpg",171
2005-01-15,"e85",NA
2005-02-15,"e85",NA
2005-03-15,"e85",NA
